,,,,,,0101,0102,0103,0104,0105,0201,0202,0203,0204,0301,0302,0303,0401,0402,0501,0502,0503,0601,0602,0701,0702,0703,0704,0705,0706,0707,,,,,,,,,,,,,,,,,,,,,,,,,,
DATOS DE LA ACCIÓN,,,,,,Conocimiento científico abierto,,,,,"Participación abierta de los agentes sociales 
",,,,Diálogos abiertos con otros sistemas de conocimiento,,,Infraestructuras de la ciencia abierta,,DIMENSIONES NO UNESCO,,,Cuerpos Normativos,,OBJETIVOS UNESCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CODIGO,Nombre de la iniciativa,Función de la iniciativa,WEB,CONTACTO,SUBDISCIPLINES,Producción científica,Datos abiertos de investigación,Recursos Educativos Abiertos,Programas informáticos de código abierto y código fuente abierto,Equipos informáticos de código abierto,Ciencia Ciudadana,Financiación Colectiva,Producción Colectiva,Voluntariado Científico,Pueblos Indígenas,Investigadores Marginados,Comunidades Locales,Virtuales,Fisicas,Evaluación abierta de la Ciencia,Innovación Abierta,Investigación abierta y reproducible,Nacionales,Institucionales,"Promover una definición común de la ciencia abierta, de los beneficios y desafíos que conlleva y de los diversos medios de acceder a ella",Crear un entorno normativo propicio para la ciencia abierta,Invertir en infraestructuras y servicios de ciencia abierta,"Invertir en recursos humanos, formación, educación, alfabetización digital y desarrollo de capacidades para la ciencia abierta",Fomentar una cultura de la ciencia abierta y armonizar los incentivos en favor de la ciencia abierta,Promover enfoques innovadores para la ciencia abierta en las diferentes etapas del proceso científico,"Promover la cooperación internacional y multipartita en el contexto de la ciencia abierta y con miras a reducir las brechas digital, tecnológica y de conocimientos",,,,,,,,,,,,,,,,,,,,,,,,,,
AR,Base de Datos Unificada (BDU),La BDU es un explorador que reúne los recursos de información que poseen las bibliotecas y centros de investigación argentinos. Brinda acceso al texto completo de los objetos digitales depositados en los repositorios institucionales y expone registros referenciales de los objetos físicos que se encuentran en las bibliotecas aportantes.,https://bdu.siu.edu.ar/,https://bdu.siu.edu.ar/contacto,"0101,0703",X,,,,,,,,,,,,,,,,,,,,,X,,,,,0101,,,,,,,,,,,,,,,,,,,,,0703,,,,
AR,Ley 26.899 sobre Repositorios digitales institucionales de acceso abierto,"La Ley 26.899 (sancionada en 2013 y reglamentada en 2016) exige a instituciones públicas y organismos que reciben financiamiento estatal en Argentina crear repositorios digitales de acceso abierto. Su objetivo es asegurar el acceso libre y gratuito a artículos, tesis, datos y otros resultados de investigaciones financiadas públicamente. Establece un plazo máximo de 6 meses desde la publicación para que los contenidos de la producción científica y tecnológica estén disponibles, y de 5 años después de la recolección para los datos primarios de investigación. Además, demanda que los repositorios cumplan estándares para preservar y gestionar datos de manera interoperable. Con esta ley, Argentina fomenta la ciencia abierta, facilitando el acceso al conocimiento, promoviendo la transparencia y democratizando los avances científicos generados con recursos públicos.",https://repositoriosdigitales.mincyt.gob.ar/files/Boletin_Oficial_Ley_26899.pdf  ,repositorios@jefatura.gob.ar,"0601,0702",,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,0601,,,0702,,,,,
AR,Sistema Nacional de Repositorios Digitales,"Infraestructura tecnológica que permite el acceso abierto a la producción científica y tecnológica y a los datos primarios de investigación. Es una red interoperable de repositorios digitales en ciencia y tecnología, a partir del establecimiento de políticas, estándares y protocolos comunes a todos los integrantes del Sistema. Este sistema establece directrices y políticas para el acceso abierto a la investigación, y financia la construcción, el desarrollo y el mantenimiento de los repositorios de acceso abierto en Argentina.",https://repositoriosdigitales.mincyt.gob.ar/vufind/,repositorios@jefatura.gob.ar,"0101,0104,0401,0702,0703",X,,,X,,,,,,,,,X,,,,,,,,X,X,,,,,0101,,,0104,,,,,,,,,0401,,,,,,,,0702,0703,,,,
AR,Portal DACyTAr de datos científicos y tecnológicos,"DACyTAr es el portal de que permite, de forma centralizada, buscar y acceder a todos los conjuntos de datos primarios de investigación disponibles en acceso abierto a través de los repositorios digitales institucionales que integran el Sistema Nacional de Repositorios Digitales (SNRD).

",https://dacytar.mincyt.gob.ar/, repositorios@jefatura.gob.ar,"0102,0401,0703",,X,,,,,,,,,,,X,,,,,,,,,X,,,,,,0102,,,,,,,,,,,0401,,,,,,,,,0703,,,,
AR,Biblioteca Electrónica de Ciencia y Tecnología,"Su objetivo es brindar acceso a publicaciones científicas y técnicas, bases de datos referenciales y demás información bibliográfica nacional e internacional de interés para la comunidad científica proporcionando licencias de acceso on-line a recursos científicos como revistas, bases de datos de referencias bibliográficas, libros, ponencias a congresos, etcétera. ",https://biblioteca.mincyt.gob.ar/,biblioteca@mincyt.gob.ar,"0104,0702,0703",,,,X,,,,,,,,,,,,,,,,,X,X,,,,,,,,0104,,,,,,,,,,,,,,,,,0702,0703,,,,
AR,Centro Argentino de Información Científica y Tecnológica (CAICYT),"Centro de Servicios del Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET) dedicado a la comprensión del desarrollo, evolución y transferencia del conocimiento científico y tecnológico en sus aspectos de información y edición. Su misión y funciones están orientadas a la consolidación y profesionalización de las publicaciones científicas y académicas argentinas, participando en la construcción de criterios de calidad, indexación y clasificación de las publicaciones científicas argentinas (libros y revistas) y en la elaboración de normas, directrices y estándares nacionales, regionales e internacionales, entre otras tareas.",http://www.caicyt-conicet.gov.ar/,secretaria-caicyt@conicet.gov.ar,"0105,0703",,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,0105,,,,,,,,,,,,,,,,,0703,,,,
AR,Sistema de Información de Ciencia y Tecnología Argentino (SICYTAR),"Sistema de información nacional que recopila, organiza y pone a disposición información sobre actividades, recursos, y resultados en el campo de la ciencia y la tecnología en el país. uno de sus propósitos principales es crear y mantener actualizados registros unificados nacionales de científicos y tecnólogos, de proyectos de investigación en los que éstos intervengan y de instituciones que integran el Sistema Nacional de Ciencia, Tecnología e Innovación, así como los nomencladores básicos utilizados a los fines de categorizar y clasificar dicha información. Incluye al CVAr que es el Registro Unificado y Normalizado a nivel nacional de los Datos Curriculares del personal científico y tecnológico que se desempeña en las distintas instituciones argentinas. Provee información valiosa para la planificación y la toma de decisiones; y es la fuente de información que disponibiliza datos en formato abierto sobre el personal científico y tecnológico de Argentina.",https://sicytar.mincyt.gob.ar/#/,http://www.sicytar.mincyt.gob.ar/#/contacto,"0102,0703",,X,,,,,,,,,,,,,,,,,,,,X,,,,,,0102,,,,,,,,,,,,,,,,,,,,0703,,,,
AR,Portal de Datos de la Ciencia y la Tecnología Argentina,"Plataforma que disponibiliza datasets con información sobre ciencia y tecnología argentina para descargar y usar, particularmente sobre: instituciones del sistema científico y tecnológico, equipamiento científico y tecnológico, personal científico y tecnológico, producción científica y tecnológica, y proyectos científicos y tecnológicos.",https://datasets.datos.mincyt.gob.ar/,ciencia.abierta@jefatura.gob.ar,"0101,0401,0701",X,,,,,,,,,,,,X,,,,,,,X,,,,,,,0101,,,,,,,,,,,,0401,,,,,,,0701,,,,,,
