,,,,,,0101,0102,0103,0104,0105,0201,0202,0203,0204,0301,0302,0303,0401,0402,0501,0502,0503,0601,0602,0701,0702,0703,0704,0705,0706,0707,,,,,,,,,,,,,,,,,,,,,,,,,,
DATOS DE LA ACCIÓN,,,,,,Conocimiento científico abierto,,,,,"Participación abierta de los agentes sociales 
",,,,Diálogos abiertos con otros sistemas de conocimiento,,,Infraestructuras de la ciencia abierta,,DIMENSIONES NO UNESCO,,,Cuerpos Normativos,,OBJETIVOS UNESCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CODIGO,Nombre de la iniciativa,Función de la iniciativa,WEB,CONTACTO,SUBDISCIPLINES,Producción científica,Datos abiertos de investigación,Recursos Educativos Abiertos,Programas informáticos de código abierto y código fuente abierto,Equipos informáticos de código abierto,Ciencia Ciudadana,Financiación Colectiva,Producción Colectiva,Voluntariado Científico,Pueblos Indígenas,Investigadores Marginados,Comunidades Locales,Virtuales,Fisicas,Evaluación abierta de la Ciencia,Innovación Abierta,Investigación abierta y reproducible,Nacionales,Institucionales,A,B,C,D,E,F,G,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,Sistema Nacional de Repositorios Digitales (SNRD),"El Sistema Nacional de Repositorios Digitales (SNRD) es una iniciativa del Ministerio de Ciencia, Tecnología e Innovación conjuntamente con el Consejo Interinstitucional de Ciencia y Tecnología (CICyT) a través de sus representantes en el Consejo Asesor de la Biblioteca Electrónica de Ciencia y Tecnología.

El SNRD es una red interoperable de repositorios digitales en ciencia y tecnología, a partir del establecimiento de políticas, estándares y protocolos comunes a todos los integrantes del Sistema.","https://repositoriosdigitales.mincyt.gob.ar/
Otros portales, que gestiona el SNRD: 
https://dacytar.mincyt.gob.ar/
https://pesoc.jefatura.gob.ar/
https://pesoc.jefatura.gob.ar/",repositorios@mincyt.gob.ar,"0101,0102,0503,0601,0701,0702,0703,0704,0705,0707",X,X,,,,,,,,,,,,,,,X,X,,X,X,X,X,X,,X,0101,0102,,,,,,,,,,,,,,,0503,0601,,0701,0702,0703,0704,0705,,0707
AR,"Ley Nº 26.899 ""Repositorios digitales institucionales de acceso abierto"" - Sancionada en 2013 y reglamentada mediante Resolución 753 - E/2016 en el 2016","Ley nacional que exige la difusión de la producción científico-tecnológica (publicaciones y datos primarios de investigación) generada como consecuencia del financiamiento total o parcial por parte del Estado Nacional debe ser difundida a través de los repositorios digitales institucionales. El Ministerio de Ciencia, Tecnología e Innovación es la autoridad de aplicación de la Ley.","https://www.boletinoficial.gob.ar/detalleAviso/primera/98996/20131209
https://www.boletinoficial.gob.ar/detalleAviso/primera/154125/20161116",repositorios@mincyt.gob.ar,"0101,0102,0503,0601,0701,0702,0703,0704,0705",X,X,,,,,,,,,,,,,,,X,X,,X,X,X,X,X,,,0101,0102,,,,,,,,,,,,,,,0503,0601,,0701,0702,0703,0704,0705,,
AR,Programa Nacional de Ciencia Ciudadana (PNCC),"Contribuir a la promoción de la Ciencia Ciudadana en todo el territorio nacional, impulsando el desarrollo y el fortalecimiento de sus iniciativas y ampliando su visibilización y valoración de acuerdo con principios de buenas prácticas.",https://www.argentina.gob.ar/ciencia/sact/ciencia-ciudadana,ciencia.abierta@mincyt.gob.ar,"0201,0601,0701,0704,0705,0706",,,,,,X,,,,,,,,,,,,X,,X,,,X,X,X,,,,,,,0201,,,,,,,,,,,,0601,,0701,,,0704,0705,0706,
AR,Comité Asesor en Ciencia Abierta y Ciudadana,El comité tiene como objetivo asesorar en la elaboración de políticas públicas y planificación de acciones relacionadas con la ciencia abierta y ciudadana.,https://www.argentina.gob.ar/ciencia/comite-ciencia-abierta,comite.cac@mincyt.gob.ar,"0601,0701,0705",,,,,,,,,,,,,,,,,,X,,X,,,,X,,,,,,,,,,,,,,,,,,,,0601,,0701,,,,0705,,
AR,Programa Diamante: programa para el fortalecimiento de las publicaciones científicas argentinas de acceso abierto,"Apoyar la edición y sostenibilidad de las revistas científicas argentinas de acceso abierto diamante que integran el Núcleo Básico de Revistas Científicas del CAICYT-CONICET, contribuyendo a la generación de nuevas capacidades y a la actualización tecnológica y profesional de los equipos editoriales que las gestionan.",https://programadiamante.mincyt.gob.ar/bases,programadiamante@mincyt.gob.ar,"0101,0601,0701,0703,0704,0705",X,,,,,,,,,,,,,,,,,X,,X,,X,X,X,,,0101,,,,,,,,,,,,,,,,,0601,,0701,,0703,0704,0705,,
AR,Sistemas Nacionales,"Trabajamos para alcanzar una utilización eficiente de los grandes equipamientos, una mejor organización y acceso a los datos y publicaciones científicas de las instituciones de ciencia y tecnología de todo el país.",https://www.argentina.gob.ar/ciencia/sistemasnacionales,ssnn@mincyt.gob.ar,"0402,0601,0701,0703,0704,0705",,,,,,,,,,,,,,X,,,,X,,X,,X,X,X,,,,,,,,,,,,,,,,0402,,,,0601,,0701,,0703,0704,0705,,
AR,LA Referencia ,"País socio de LA Referencia, ha generado iniciativas nacionales en el tema de Repositorios y Acceso Abierto, entre los que se destacan: el Sistema Nacional de Repositorios Digitales en Ciencia y Tecnología y la Ley para el Acceso Abierto. Es signatario de los principales acuerdos de LA Referencia.",https://www.lareferencia.info/es/nodos/argentina,repositorios@mincyt.gob.ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,Directorio de Revistas Científicas,Busca impulsar mejoras en la calidad mediante una comisión de CA que define los indicadores necesarios.,https://www.redalyc.org/pais.oa?id=21,redalyc@redalyc.org,"0101,0702,0704",x,,,,,,,,,,,,,,,,,,,,x,,x,,,,0101,,,,,,,,,,,,,,,,,,,,0702,,0704,,,
BR,Proyecto BrCRIS,"Un agregador de datos CRIS nacional. Es un desarrollo conjunto entre el IBICT y LA Referencia, basado en la plataforma de agregación LA Referencia. Se ha creado una plataforma con un modelo flexible que luego puede ser adoptado por cualquier país de la red. (Perú y Panamá ya están avanzando en sus propios proyectos nacionales).",https://brcris.ibict.br,https://brcris.ibict.br/contact,"0104,0702",,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,0104,,,,,,,,,,,,,,,,,0702,,,,,
BR,Conformación del nodo RDA,"Tiene como objetivo “Establecer mecanismos de gobernanza de datos científicos para avanzar en la Ciencia Abierta en Brasil”. También, destacar la instrumentalidad de la RDA y las herramientas digitales que ofrece para la implementación y sostenibilidad de la red interinstitucional de Ciencia Abierta.",https://www.rd-alliance.org/groups/rda-brazil,https://www.rd-alliance.org/contact,"0102,0701,0702",,x,,,,,,,,,,,,,,,,,,x,x,,,,,,,0102,,,,,,,,,,,,,,,,,,0701,0702,,,,,
BR,Red Brasileña de Repositorios Digitales,"Portal que reúne la producción cienítifica de Brasil, mediante el almacenamiento ordenado de los recursos digitales, para que puedan ser consultados.",https://www.arca.fiocruz.br/handle/icict/54766,https://www.arca.fiocruz.br/handle/icict/page/faleconosco,"0104,0702",,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,0104,,,,,,,,,,,,,,,,,0702,,,,,
BR,Repositorio de Datos IBICT,"Bases de datos en línea que reúnen de manera organizada la producción científica de una institución o área temática; almacenan archivos de diferentes formatos. Además, redundan en una serie de beneficios tanto para los investigadores como para las instituciones o sociedades científicas, proporcionando una mayor visibilidad a los resultados de la investigación y permitiendo la preservación de la memoria científica de su institución.",https://dados.ibict.br/es/,,"0104,0702",,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,0104,,,,,,,,,,,,,,,,,0702,,,,,
BR,Rede Carianiana,Red de servicios de preservación digital de datos de investigación.,https://cariniana.ibict.br/, cariniana@ibict.br,"0104,0706",,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,0104,,,,,,,,,,,,,,,,,,,,,0706,
BR,"Biblioteca Electrónica en Línea Cientíca, SciELO",Plataforma de servicios que permite la publicación de revistas y editoriales en acceso abierto y que funciona como un agregador de metadatos y textos completos de revistas de alta calidad. ,https://www.scielo.br/,scielo@scielo.org,"0104,0701,0704",,,,x,,,,,,,,,,,,,,,,x,,,x,,,,,,,0104,,,,,,,,,,,,,,,,0701,,,0704,,,
BR,Plataforma Digital Lattes,"Integra bases de currículos, grupos de investigación e instituciones de financiación, universidades e institutos de investigación. ",https://www.lattes.cnpq.br/,atendimento@cnpq.br,"0104,0704",,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,0104,,,,,,,,,,,,,,,,,,,0704,,,
BR,Repositorio Nacional ALICIA (Acceso Libre a la Información Científica),Es el agregado nacional de Perú que centraliza toda la información digital resultado de la producción en CTI generada con fondos públicos o financiadas por el Estado,https://alicia.concytec.gob.pe/,alicia@concytec.gob.pe,"0104,0705",,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,0104,,,,,,,,,,,,,,,,,,,,0705,,
BR,Repositorio Institucional de Concytec,Repositorio creado para albergar y permitir el libre acceso a la producción científica institucional del Concytec.,https://repositorio.concytec.gob.pe/,repositorio@concytec.gob.pe,"0104,0701",,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,0104,,,,,,,,,,,,,,,,0701,,,,,,
BR,Iniciativa para Gobierno Abierto (Compromiso de Open Government Partnership),Dentro de sus compromisos se incluyó el tema de la Ciencia Abierta con propuestas de nuevas formas de evaluación,https://www.opengovpartnership.org/es/,info@opengovpartnership.org,"0501,0703",,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,0501,,,,,,,0703,,,,
