,,,,,,0101,0102,0103,0104,0105,0201,0202,0203,0204,0301,0302,0303,0304,0305,0401,0402,0403,0501,0502,0601,0602,0603,0604,0605,0606,,,,,,,,,,,,,,,,,,,,,,,,,,
DATOS DE LA ACCIÓN,,,,,,Conocimiento científico abierto,,,,,"Participación abierta de los agentes sociales 
",,,,Diálogos abiertos con otros sistemas de conocimiento,,,Infraestructuras de la ciencia abierta,,DIMENSIONES NO UNESCO,,,Cuerpos Normativos,,OBJETIVOS UNESCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CODIGO,Nombre de la iniciativa,Función de la iniciativa,WEB,CONTACTO,SUBDISCIPLINES,Producción científica,Datos abiertos de investigación,Recursos Educativos Abiertos,Programas informáticos de código abierto y código fuente abierto,Equipos informáticos de código abierto,Ciencia Ciudadana,Financiación Colectiva,Producción Colectiva,Voluntariado Científico,Pueblos Indígenas,Investigadores Marginados,Comunidades Locales,Virtuales,Fisicas,Evaluación abierta de la Ciencia,Innovación Abierta,Investigación abierta y reproducible,Nacionales,Institucionales,A,B,C,D,E,F,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,Base de Datos Unificada (BDU),La BDU es un explorador que reúne los recursos de información que poseen las bibliotecas y centros de investigación argentinos y brinda acceso al texto completo de los objetos digitales depositados.,https://bdu.siu.edu.ar/,https://bdu.siu.edu.ar/contacto,0101,x,,,,,,,,,,,,,,,,,,,,,,,,,,0101,,,,,,,,,,,,,,,,,,,,,,,,
AR,CVar,"Es un registro unificado y normalizado de los datos curriculares del personal investigador en Argentina, lo que implica que se está recopilando y poniendo a disposición datos de investigación en un formato estandarizado y accesible públicamente. Además, se indica que sirve como herramienta para concurrir a las convocatorias públicas de proyectos de I+D+i, lo que sugiere que los datos recopilados podrían ser utilizados por otros investigadores en el desarrollo de sus propios proyectos de investigación.",http://cvar.sicytar.mincyt.gob.ar/auth/index.jsp,consultacvar@mincyt.gob.ar,0102,,x,,,,,,,,,,,,,,,,,,,,,,,,,,0102,,,,,,,,,,,,,,,,,,,,,,,
AR,Sistema Nacional de Repositorios Digitales,"Infraestructura tecnológica que permite el acceso abierto a la investigación. Este sistema establece directrices y políticas para el acceso abierto a la investigación, y financia la construcción, el desarrollo y el mantenimiento de los repositorios de acceso abierto.",https://repositoriosdigitales.mincyt.gob.ar/vufind/,repositorios@mincyt.gob.ar,0104,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,0104,,,,,,,,,,,,,,,,,,,,,
AR,La Biblioteca Electrónica de Ciencia y Tecnología,"Su objetivo es proporcionar las licencias de acceso on-line a recursos científicos: revistas, bases de datos de referencias bibliográficas, libros, ponencias a congresos, etc. Cuenta con una partida propia dentro del presupuesto nacional.",https://biblioteca.mincyt.gob.ar/,biblioteca@mincyt.gob.ar,0104,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,0104,,,,,,,,,,,,,,,,,,,,,
AR,Centro Argentino de Información Científica y Tecnológica (CAICYT),"Instituto de investigación que se dedica a la gestión de información científica y al apoyo a la edición académica. Además, se mencionan temas como la articulación interinstitucional de iniciativas relacionadas con el acceso abierto a la comunicación científica y las infraestructuras de la información. ",http://www.caicyt-conicet.gov.ar/,secretaria-caicyt@conicet.gov.ar,0105,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,0105,,,,,,,,,,,,,,,,,,,,
AR,Sistema de Información de Ciencia y Tecnología Argentino (SICYTAR),"Plataforma digital que permite el acceso a información de interés público en ciencia, tecnología e innovación en el país",http://www.sicytar.mincyt.gob.ar/,http://www.sicytar.mincyt.gob.ar/#/contacto,0104,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,0104,,,,,,,,,,,,,,,,,,,,,
AR,Programa Nacional Ciencia Ciudadana,"Impulsa la participación comunitaria en iniciativas de ciencia ciudadana para generar insumos para la política pública, poner en valor prácticas abiertas y colaborativas de co-construcción de conocimiento que aportan evidencia para la resolución de problemas sociales y contribuir al desarrollo de vocaciones científicas tempranas",https://www.argentina.gob.ar/sites/default/files/rs-if_programa_nacional_de_ciencia_ciudadana.pdf,,0201,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,0201,,,,,,,,,,,,,,,,,,,
AR,Comité Asesor en Ciencia Abierta y Ciudadana,,https://www.argentina.gob.ar/ciencia/comite-ciencia-abierta,comite.cac@mincyt.gob.ar,0201,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,0201,,,,,,,,,,,,,,,,,,,
AR,Informe “Diagnóstico y lineamientos para una política de Ciencia Abierta en Argentina”,"Incluye un diagnóstico de la implementación de la Ley 26.899 de “Creación de Repositorios de Acceso Abierto, propios o compartidos”, para potenciar la apertura de la ciencia argentina en el marco del Plan Nacional CTI 2030 y la Ley 27.614 de Financiamiento del Sistema Nacional de Ciencia, Tecnología e Innovación",https://back.argentina.gob.ar/ciencia/comite-ciencia-abierta/diagnostico-y-lineamientos?tca=o_7_luAtOovYYM-ryWPbcWG2qoBOTf1oJ4tLzLpgkQw https://back.argentina.gob.ar/sites/default/files/2023/01/documento_final_comite_cayc_-_dic_22.pdf,sssypd@jefatura.gob.ar,0401,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,0401,,,,,,,,,,
AR,Programa de Evaluación Institucional (PEI): ,"Programa encargado de evaluar la calidad y desempeño de las instituciones pertenecientes al Sistema Nacional de Ciencia, Tecnología e Innovación. Además, el programa incluye la autoevaluación, evaluación externa y plan de mejora, y brinda apoyo técnico y financiero a las instituciones en todo el proceso.",https://www.argentina.gob.ar/ciencia/pei,falecom@consecti.org.br,0401,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,0401,,,,,,,,,,
AR,El Núcleo Básico de Revistas Científicas Argentinas (NBR),"Servicio de evaluación de publicaciones académicas nacionales, cuyos parámetros de evaluación responden a criterios internacionales de calidad científica y editorial y están establecidos en la Resolución 1640/05 de CONICET.",http://www.caicyt-conicet.gov.ar/sitio/comunicacion-cientifica/nucleo-basico/,nucleobasico-caicyt@conicet.gov.ar,0401,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,0401,,,,,,,,,,
AR,"Agencia Nacional de Promoción de la Investigación, el Desarrollo Tecnológico y la Innovación (Agencia I+D+i)","Brinda fondos a proyectos de investigación científica y tecnológica, así como de innovación, con el objetivo de generar conocimiento y mejorar el sistema productivo. Además, estos fondos están destinados a apoyar tanto proyectos de investigación básica y aplicada como actividades de generación de nuevos conocimientos científicos, tecnológicos e innovativos realizados por investigadores de instituciones públicas y privadas sin fines de lucro, lo que refuerza su compromiso con la investigación abierta y reproducible. ",https://www.argentina.gob.ar/ciencia/agencia/fondo-para-la-investigacion-cientifica-y-tecnologica-foncyt                 ,foncyt@mincyt.gob.ar,0403,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,0403,,,,,,,,
AR,LA Referencia ,"País socio de LA Referencia, ha generado iniciativas nacionales en el tema de Repositorios y Acceso Abierto, entre los que se destacan: el Sistema Nacional de Repositorios Digitales en Ciencia y Tecnología y la Ley para el Acceso Abierto. Es signatario de los principales acuerdos de LA Referencia.",https://www.lareferencia.info/es/nodos/argentina,repositorios@mincyt.gob.ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,"Ley de la Ciencia, tecnología e innovación (25.467) de 2001","Regula los órganos políticos de asesoramiento, planificación, articulación, ejecución y evaluación del sistema CTI argentino en los distintos niveles administrativos, su composición y sus atribuciones.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,Ley sobre repositorios digitales institucionales de acceso abierto (26.899) de 2013,Establece obligaciones para las instituciones y para el personal investigador. El Sistema Nacional de Repositorios Digitales (SNRD) es la entidad respinsable de velar por el  cumplimiento de esta Ley.,https://repositoriosdigitales.mincyt.gob.ar/files/Boletin_Oficial_Ley_26899.pdf  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,"Plan Nacional de Ciencia, Tecnología e Innovación (PNCTI)","Instrumento central de la política de ciencia y tecnología que define, organiza y comunica el conjunto de políticas, estrategias e instrumentos a todos los actores y agentes públicos y privados que integran el Sistema Nacional de Ciencia, Tecnología e Innovación. Además, actualmente que se está elaborando un nuevo Plan Nacional de Ciencia, Tecnología e Innovación 2030 que cuenta con un borrador publicado en la web en septiembre del año 2020.",https://www.argentina.gob.ar/sites/default/files/pai2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,"Ministerio de Ciencia, Tecnología e Innovación (MINCyT)","Órgano de máximo nivel definido en la Ley, responsable de definir las políticas de CTI, financiar la actividad investigadora, proveer de las infraestructuras necesarias para su desarrollo, promover la relación entre los sistemas académico y productivo y divulgar el conocimiento.",https://www.argentina.gob.ar/ciencia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,Directorio de Revistas Científicas,Busca impulsar mejoras en la calidad mediante una comisión de CA que define los indicadores necesarios.,https://www.redalyc.org/pais.oa?id=21,redalyc@redalyc.org,"0101,0602,0604",x,,,,,,,,,,,,,,,,,,,,x,,x,,,,0101,,,,,,,,,,,,,,,,,,,,0602,,0604,,
BR,Proyecto BrCRIS,"Un agregador de datos CRIS nacional. Es un desarrollo conjunto entre el IBICT y LA Referencia, basado en la plataforma de agregación LA Referencia. Se ha creado una plataforma con un modelo flexible que luego puede ser adoptado por cualquier país de la red. (Perú y Panamá ya están avanzando en sus propios proyectos nacionales).",https://brcris.ibict.br,https://brcris.ibict.br/contact,"0104,0602",,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,0104,,,,,,,,,,,,,,,,,0602,,,,
BR,Conformación del nodo RDA,"Tiene como objetivo “Establecer mecanismos de gobernanza de datos científicos para avanzar en la Ciencia Abierta en Brasil”. También, destacar la instrumentalidad de la RDA y las herramientas digitales que ofrece para la implementación y sostenibilidad de la red interinstitucional de Ciencia Abierta.",https://www.rd-alliance.org/groups/rda-brazil,https://www.rd-alliance.org/contact,"0102,0601,0602",,x,,,,,,,,,,,,,,,,,,x,x,,,,,,,0102,,,,,,,,,,,,,,,,,,0601,0602,,,,
BR,Red Brasileña de Repositorios Digitales,"Portal que reúne la producción cienítifica de Brasil, mediante el almacenamiento ordenado de los recursos digitales, para que puedan ser consultados.",https://www.arca.fiocruz.br/handle/icict/54766,https://www.arca.fiocruz.br/handle/icict/page/faleconosco,"0104,0602",,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,0104,,,,,,,,,,,,,,,,,0602,,,,
BR,Repositorio de Datos IBICT,"Bases de datos en línea que reúnen de manera organizada la producción científica de una institución o área temática; almacenan archivos de diferentes formatos. Además, redundan en una serie de beneficios tanto para los investigadores como para las instituciones o sociedades científicas, proporcionando una mayor visibilidad a los resultados de la investigación y permitiendo la preservación de la memoria científica de su institución.",https://dados.ibict.br/es/,,"0104,0602",,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,0104,,,,,,,,,,,,,,,,,0602,,,,
BR,Rede Carianiana,Red de servicios de preservación digital de datos de investigación.,https://cariniana.ibict.br/, cariniana@ibict.br,"0104,0606",,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,0104,,,,,,,,,,,,,,,,,,,,,0606
BR,"Biblioteca Electrónica en Línea Cientíca, SciELO",Plataforma de servicios que permite la publicación de revistas y editoriales en acceso abierto y que funciona como un agregador de metadatos y textos completos de revistas de alta calidad. ,https://www.scielo.br/,scielo@scielo.org,"0104,0601,0604",,,,x,,,,,,,,,,,,,,,,x,,,x,,,,,,,0104,,,,,,,,,,,,,,,,0601,,,0604,,
BR,Plataforma Digital Lattes,"Integra bases de currículos, grupos de investigación e instituciones de financiación, universidades e institutos de investigación. ",https://www.lattes.cnpq.br/,atendimento@cnpq.br,"0104,0604",,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,0104,,,,,,,,,,,,,,,,,,,0604,,
